省份,区域,状态,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24
湖北,湖北,确诊,549,730,1058,1423,2714,3554,4903,5806,7153,9074,11177,13522,16678,19665,22112,24953,27100,29631,31728,33366,48206,51986,54406,56249,58182,59989,61682
湖北,湖北,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23638,0,0,0,0,0,0,0,0,0,0
湖北,湖北,治愈,31,32,42,45,52,87,90,141,168,267,300,397,537,712,867,1218,1480,1854,2310,2686,3459,3900,4821,5666,6693,7943,9237
湖北,湖北,死亡,24,39,52,76,100,125,162,204,249,294,350,414,479,549,618,699,780,871,974,1068,1310,1318,1457,1596,1696,1789,1921
湖北,武汉,确诊,495,572,618,698,1590,1905,2261,2639,3215,4109,5142,6384,8351,10117,11618,13603,14982,16902,18454,19558,32994,35991,37914,39462,41152,42752,44412
湖北,武汉,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,武汉,治愈,31,32,40,42,47,54,54,103,106,175,228,306,374,455,542,747,878,1046,1242,1380,1923,2023,2535,2925,3507,4253,4970
湖北,武汉,死亡,23,38,45,63,85,104,129,159,192,224,265,313,362,414,478,545,608,681,748,820,1036,1016,1123,1233,1309,1381,1497
湖北,孝感,确诊,22,26,55,100,173,274,399,541,628,749,918,1120,1462,1886,2141,2313,2436,2541,2642,2751,2874,3009,3114,3201,3279,3320,3344
湖北,孝感,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,孝感,治愈,0,0,0,0,0,0,0,2,2,2,2,4,6,30,30,42,53,81,140,179,209,255,313,380,449,523,572
湖北,孝感,死亡,0,0,0,1,1,3,6,9,12,14,14,17,18,25,25,26,29,33,41,45,49,57,62,65,70,75,82
